StockCode,Description,Customer_Count,Total_Quantity_Sold,Total_Revenue
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,233,3711,8721.89
23583,LUNCH BAG PAISLEY PARK  ,233,3305,5251.25
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,232,7754,14626.73
22489,PACK OF 12 TRADITIONAL CRAYONS,232,9313,3754.47
23247,BISCUIT TIN 50'S CHRISTMAS,231,2048,5760.52
22692,DOORMAT WELCOME TO OUR HOME,231,1376,9451.58
20975,12 PENCILS SMALL TUBE RED RETROSPOT,231,6393,4096.650000000001
20723,STRAWBERRY CHARLOTTE BAG,230,6842,5516.7
23240,SET OF 4 KNICK KNACK TINS DOILY ,230,2286,9237.3
22507,MEMO BOARD RETROSPOT  DESIGN,230,2786,12411.02
23581,JUMBO BAG PAISLEY PARK,230,4358,8498.04
22560,TRADITIONAL MODELLING CLAY,229,7990,9281.47
22197,SMALL POPCORN HOLDER,228,18241,13789.37
47590A,BLUE HAPPY BIRTHDAY BUNTING,228,1948,10096.62
22413,METAL SIGN TAKE IT OR LEAVE IT ,228,3687,10638.45
84029E,RED WOOLLY HOTTIE WHITE HEART.,228,3676,13311.26
22694,WICKER STAR ,228,1608,3328.8
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,227,3726,3068.82
48184,DOORMAT ENGLISH ROSE ,227,1972,13447.1
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,227,6469,17569.59
22429,ENAMEL MEASURING JUG CREAM,227,1184,4916.04
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,226,4805,1664.2899999999997
21174,POTTERING IN THE SHED METAL SIGN,225,3922,8364.64
22979,PANTRY WASHING UP BRUSH,225,3913,5785.71
23256,CHILDRENS CUTLERY SPACEBOY ,225,1980,7966.080000000001
23170,REGENCY TEA PLATE ROSES ,224,6563,10170.99
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,224,3269,5197.17
22607,WOODEN ROUNDERS GARDEN SET ,224,1265,11561.34
22983,CARD BILLBOARD FONT,223,5026,2067.75
23103,JINGLE BELL HEART DECORATION,223,3679,6055.95
21936,RED RETROSPOT PICNIC BAG,223,3756,10365.76
22804,CANDLEHOLDER PINK HANGING HEART,222,2035,5739.33
22356,CHARLOTTE BAG PINK POLKADOT,220,7303,5838.09
21908,CHOCOLATE THIS WAY METAL SIGN,220,3633,7204.320000000001
21930,JUMBO STORAGE BAG SKULLS,220,5694,10865.83
22456,NATURAL SLATE CHALKBOARD LARGE ,220,1448,6813.400000000001
21932,SCANDINAVIAN PAISLEY PICNIC BAG,218,2463,4357.06
22992,REVOLVER WOODEN RULER ,217,4914,8944.44
22998,TRAVEL CARD WALLET KEEP CALM,217,11645,4641.32
22499,WOODEN UNION JACK BUNTING,217,1734,9928.83
23077,DOUGHNUT LIP GLOSS ,217,9642,11615.7
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,216,2510,5026.24
22745,POPPY'S PLAYHOUSE BEDROOM ,216,1780,3673.15
21231,SWEETHEART CERAMIC TRINKET BOX,215,5748,6864.610000000001
21314,SMALL GLASS HEART TRINKET POT,215,3664,7399.960000000001
22847,BREAD BIN DINER STYLE IVORY,214,847,13131.89
23294,SET OF 6 SNACK LOAF BAKING CASES,214,4264,3336.94
21122,SET/10 PINK POLKADOT PARTY CANDLES,214,5251,6346.08
23349,ROLL WRAP VINTAGE CHRISTMAS,214,2847,3450.39
22492,MINI PAINT SET VINTAGE ,213,26076,16039.24
22659,LUNCH BOX I LOVE LONDON,213,11075,19316.17
22908,PACK OF 20 NAPKINS RED APPLES,212,4229,3326.39
22488,NATURAL SLATE RECTANGLE CHALKBOARD,211,2910,4635.26
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,211,2465,9313.17
22273,FELTCRAFT DOLL MOLLY,211,4464,11748.24
85014B,RED RETROSPOT UMBRELLA,210,1841,10217.720000000001
21888,BINGO SET,210,1551,5718.21
23323,WHITE WICKER STAR ,210,1422,2954.7000000000003
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,210,2149,6267.39
82580,BATHROOM METAL SIGN,210,5503,3016.95
84988,SET OF 72 PINK HEART PAPER DOILIES,209,3953,5565.23
84692,BOX OF 24 COCKTAIL PARASOLS,209,6803,2808.57
21533,RETROSPOT LARGE MILK JUG,209,1307,6217.650000000001
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,209,5955,3091.6099999999997
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,208,10267,8259.25
21907,I'M ON HOLIDAY METAL SIGN,208,2292,4757.35
84997D,CHILDRENS CUTLERY POLKADOT PINK,208,3528,13788.300000000001
82600,NO SINGING METAL SIGN,207,4635,9571.5
23332,IVORY WICKER HEART LARGE,207,1979,3255.75
20713,JUMBO BAG OWLS,207,10451,19047.02
82583,HOT BATHS METAL SIGN,206,6367,12731.34
23175,REGENCY MILK JUG PINK ,206,3062,8995.0
22193,RED DINER WALL CLOCK,206,1349,11048.89
23350,ROLL WRAP VINTAGE SPOT ,205,2584,3154.4
23082,SET 6 PAPER TABLE LANTERN HEARTS ,205,2260,8110.68
21155,RED RETROSPOT PEG BAG,205,2458,5874.95
21484,CHICK GREY HOT WATER BOTTLE,205,1545,5770.27
79321,CHILLI LIGHTS,205,9646,46265.11
22941,CHRISTMAS LIGHTS 10 REINDEER,205,1570,12133.0
85049A,TRADITIONAL CHRISTMAS RIBBONS,204,2903,3602.8
21535,RED RETROSPOT SMALL MILK JUG,204,2450,5804.7
23570,TRADITIONAL PICK UP STICKS GAME ,203,1836,2295.0
21523,DOORMAT FANCY FONT HOME SWEET HOME,203,3087,19149.07
22570,FELTCRAFT CUSHION RABBIT,202,3012,10672.31
23076,ICE CREAM SUNDAE LIP GLOSS,202,7896,9638.16
21156,RETROSPOT CHILDRENS APRON,202,3038,5585.92
22898,CHILDRENS APRON APPLES DESIGN,201,2189,4097.45
21912,VINTAGE SNAKES & LADDERS,201,1571,5508.53
84987,SET OF 36 TEATIME PAPER DOILIES,201,2926,4075.7799999999997
23266,SET OF 3 WOODEN STOCKING DECORATION,201,1964,2529.64
23234,BISCUIT TIN VINTAGE CHRISTMAS,201,1632,4567.38
22834,HAND WARMER BABUSHKA DESIGN,199,4604,6118.43
23204,CHARLOTTE BAG APPLES DESIGN,199,7039,5632.15
21933,PINK VINTAGE PAISLEY PICNIC BAG,198,2406,4289.26
84030E,ENGLISH ROSE HOT WATER BOTTLE,198,1414,5729.66
22690,DOORMAT HOME SWEET HOME BLUE ,198,1595,9619.99
22980,PANTRY SCRUBBING BRUSH,198,2286,3656.94
22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,198,2601,2141.43
23254,CHILDRENS CUTLERY DOLLY GIRL ,197,1621,6525.55
22988,SOLDIERS EGG CUP ,197,8757,10070.22
M,Manual,197,6933,53419.93
85150,LADIES & GENTLEMEN METAL SIGN,196,3898,8696.58
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,196,3264,3535.2
22158,3 HEARTS HANGING DECORATION RUSTIC,196,2845,8013.71
23171,REGENCY TEA PLATE GREEN ,195,5966,9184.9
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,195,2063,7495.29
22549,PICTURE DOMINOES,195,2991,4235.59
72741,GRAND CHOCOLATECANDLE,195,5783,7758.95
20974,12 PENCILS SMALL TUBE SKULL,195,6727,4230.55
23571,TRADITIONAL NAUGHTS & CROSSES,195,2018,3300.9
22616,PACK OF 12 LONDON TISSUES ,195,25329,7261.7699999999995
15036,ASSORTED COLOURS SILK FAN,194,21876,16044.44
71459,HANGING JAM JAR T-LIGHT HOLDER,193,10528,8164.12
22627,MINT KITCHEN SCALES,193,789,6574.29
21918,SET 12 KIDS COLOUR  CHALK STICKS,193,7012,2814.28
22840,ROUND CAKE TIN VINTAGE RED,193,888,6576.88
22569,FELTCRAFT CUSHION BUTTERFLY,192,2692,9632.98
21980,PACK OF 12 RED RETROSPOT TISSUES ,192,6521,2002.7299999999998
47566B,TEA TIME PARTY BUNTING,192,2288,10430.4
23205,CHARLOTTE BAG VINTAGE ALPHABET ,192,4750,3784.52
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,192,7892,17554.27
22784,LANTERN CREAM GAZEBO ,192,1205,5676.87
23169,CLASSIC GLASS COOKIE JAR,191,1332,5350.2
22464,HANGING METAL HEART LANTERN,191,3179,4789.71
20973,12 PENCIL SMALL TUBE WOODLAND,191,3998,2545.3
21169,YOU'RE CONFUSING ME METAL SIGN ,191,4270,6743.9800000000005
22219,LOVEBIRD HANGING DECORATION WHITE ,190,3367,2814.37
22079,RIBBON REEL HEARTS DESIGN ,190,1701,2808.89
22899,CHILDREN'S APRON DOLLY GIRL ,190,1981,3984.78
23174,REGENCY SUGAR BOWL GREEN,190,2954,11567.24
22296,HEART IVORY TRELLIS LARGE,189,3039,4962.43
16161P,WRAP ENGLISH ROSE ,189,7201,2980.42
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,189,4436,2040.19
22424,ENAMEL BREAD BIN CREAM,189,711,8493.5
22637,PIGGY BANK RETROSPOT ,188,2615,6298.37
22752,SET 7 BABUSHKA NESTING BOXES,188,1651,12639.789999999999
22501,PICNIC BASKET WICKER LARGE,187,1192,10799.0
22379,RECYCLING BAG RETROSPOT ,187,6074,11913.03
23126,FELTCRAFT GIRL AMELIE KIT,187,982,4799.38
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,186,2698,9401.82
23582,VINTAGE DOILY JUMBO BAG RED ,186,4434,8508.220000000001
22505,MEMO BOARD COTTAGE DESIGN,186,1361,6286.39
22991,GIRAFFE WOODEN RULER,185,3708,6816.839999999999
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,185,2848,6705.04
20676,RED RETROSPOT BOWL,185,4310,4980.7300000000005
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,185,3919,4745.3099999999995
20983,12 PENCILS TALL TUBE RED RETROSPOT,185,2643,2240.31
23367,SET 12 COLOUR PENCILS SPACEBOY ,184,2778,1803.3
15056N,EDWARDIAN PARASOL NATURAL,184,3822,20672.91
22768,FAMILY PHOTO FRAME CORNICE,184,836,7636.889999999999
22751,FELTCRAFT PRINCESS OLIVIA DOLL,184,1511,5434.85
22791,T-LIGHT GLASS FLUTED ANTIQUE,184,7264,8288.89
82552,WASHROOM METAL SIGN,184,2918,4456.57
82486,WOOD S/3 CABINET ANT WHITE FINISH,183,1364,11343.2
23241,TREASURE TIN GYMKHANA DESIGN,183,2005,4060.0
22721,SET OF 3 CAKE TINS SKETCHBOOK,183,908,3942.82
85014A,BLACK/BLUE POLKADOT UMBRELLA,183,1132,6361.990000000001
21982,PACK OF 12 SUKI TISSUES ,182,6907,1995.0499999999997
23229,VINTAGE DONKEY TAIL GAME ,182,1750,6146.89
22605,WOODEN CROQUET GARDEN SET,181,709,9555.98
22271,FELTCRAFT DOLL ROSIE,181,1648,4702.120000000001
21976,PACK OF 60 MUSHROOM CAKE CASES,181,4936,2496.08
22970,LONDON BUS COFFEE MUG,180,4213,9582.150000000001
23265,SET OF 3 WOODEN TREE DECORATIONS,180,1665,2153.71
22027,TEA PARTY BIRTHDAY CARD,180,4141,1692.71
22962,JAM JAR WITH PINK LID,180,3675,2947.47
21124,SET/10 BLUE POLKADOT PARTY CANDLES,180,3966,4793.34
23100,SILVER BELLS TABLE DECORATION,180,2090,2562.1
23144,ZINC T-LIGHT HOLDER STARS SMALL,180,4894,3879.98
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,179,925,10123.16
23333,IVORY WICKER HEART MEDIUM,179,2009,2498.65
21094,SET/6 RED SPOTTY PAPER PLATES,179,7351,5496.53
22729,ALARM CLOCK BAKELIKE ORANGE,179,2179,7984.38
22418,10 COLOUR SPACEBOY PEN,179,6267,5209.17
22746,POPPY'S PLAYHOUSE LIVINGROOM ,179,1315,2724.62
22192,BLUE DINER WALL CLOCK,179,907,7528.93
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,179,1746,4872.3
22030,SWALLOWS GREETING CARD,179,5337,2120.55
23230,WRAP ALPHABET DESIGN,178,7925,3196.5
23309,SET OF 60 I LOVE LONDON CAKE CASES ,178,7670,3697.7
21165,BEWARE OF THE CAT METAL SIGN ,178,4025,6401.93
23191,BUNDLE OF 3 RETRO NOTE BOOKS,178,2099,3393.35
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,177,8219,9271.84
21974,SET OF 36 PAISLEY FLOWER DOILIES,177,2036,2942.5099999999998
