CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score
12502,2023-09-05 11:52:00,5,3723.87,95,2,4,5,245
12504,2023-11-21 16:02:00,2,482.04999999999995,17,4,2,2,422
12506,2023-04-21 08:54:00,1,73.5,232,1,1,1,111
12507,2023-07-28 17:09:00,3,1304.81,133,2,3,4,234
12508,2023-11-13 15:37:00,2,397.88,25,4,2,2,422
12509,2023-02-28 14:45:00,1,176.5,283,1,1,1,111
12510,2023-07-20 10:15:00,2,982.5699999999999,142,2,2,4,224
12512,2023-10-04 14:55:00,2,132.18,65,3,2,1,321
12513,2023-08-19 10:51:00,1,612.29,112,2,1,3,213
12514,2023-03-17 16:38:00,1,1017.6800000000001,266,1,1,4,114
12515,2022-12-21 15:43:00,1,383.7,352,1,1,2,112
12516,2023-09-23 09:13:00,2,1312.06,77,2,2,4,224
12517,2023-11-11 14:04:00,5,2481.6,27,4,4,5,445
12518,2023-12-09 10:13:00,5,2056.89,0,5,4,5,545
12519,2023-10-07 09:26:00,1,330.84000000000003,63,3,1,2,312
12520,2023-09-21 15:23:00,5,2634.26,78,2,4,5,245
12521,2023-07-20 10:51:00,1,599.68,142,2,1,3,213
12522,2023-10-31 15:30:00,2,192.72,38,3,2,1,321
12523,2023-11-20 12:55:00,11,1789.77,18,4,5,4,454
12524,2023-11-30 15:31:00,8,4485.72,8,5,5,5,555
12526,2023-12-09 12:09:00,3,1316.66,0,5,3,4,534
12527,2023-09-19 11:55:00,3,348.71000000000004,81,2,3,2,232
12528,2023-11-30 14:40:00,6,1933.48,8,5,5,4,554
12530,2023-10-11 12:34:00,4,1662.28,59,3,4,4,344
12531,2023-11-25 11:12:00,1,125.22,14,4,1,1,411
12532,2023-11-09 13:47:00,1,349.83000000000004,29,4,1,2,412
12534,2023-08-01 10:26:00,1,1089.18,130,2,1,4,214
12535,2023-09-09 08:48:00,2,716.35,91,2,2,3,223
12536,2023-10-27 14:20:00,3,12601.830000000002,42,3,3,5,335
12538,2023-11-10 17:16:00,1,363.95,28,4,1,2,412
12539,2023-11-17 13:30:00,4,5568.35,21,4,4,5,445
12540,2023-11-20 11:31:00,17,13400.24,19,4,5,5,455
12541,2023-11-10 10:40:00,3,981.18,29,4,3,4,434
12544,2023-11-03 16:15:00,1,372.7,35,3,1,2,312
12545,2023-09-25 13:39:00,2,1000.39,74,2,2,4,224
12546,2023-10-24 12:09:00,2,1161.5,46,3,2,4,324
12547,2023-05-26 12:38:00,2,207.8,197,1,2,1,121
12548,2023-06-26 15:35:00,1,95.19999999999999,165,2,1,1,211
12550,2023-09-21 14:35:00,1,964.83,78,2,1,4,214
12551,2022-12-17 11:23:00,1,168.0,357,1,1,1,111
12552,2023-11-01 10:02:00,2,437.82,38,3,2,2,322
12553,2023-12-01 16:38:00,10,3692.28,7,5,5,5,555
12556,2023-10-20 13:06:00,2,599.56,49,3,2,3,323
12557,2023-11-23 16:59:00,5,11990.960000000001,15,4,4,5,445
12558,2023-12-02 10:41:00,1,269.96,7,5,1,2,512
12559,2023-02-02 09:49:00,2,561.71,310,1,2,3,123
12560,2023-12-04 13:54:00,3,2134.01,4,5,3,5,535
12561,2023-02-10 11:39:00,1,238.85,302,1,1,1,111
12562,2023-12-01 17:20:00,7,3781.7400000000002,7,5,5,5,555
12564,2023-03-23 14:55:00,1,456.90000000000003,260,1,1,2,112
12565,2023-02-24 10:34:00,1,145.92000000000002,288,1,1,1,111
12566,2023-09-14 14:30:00,1,351.65,85,2,1,2,212
12567,2023-11-17 11:02:00,10,9401.28,22,4,5,5,455
12569,2023-12-07 16:24:00,32,4124.6900000000005,1,5,5,5,555
12571,2023-10-31 10:19:00,2,519.61,39,3,2,3,323
12572,2023-12-01 09:20:00,2,1020.4200000000001,8,5,2,4,524
12573,2023-04-26 15:52:00,1,160.54000000000002,226,1,1,1,111
12574,2023-01-28 09:20:00,1,218.45000000000002,315,1,1,1,111
12576,2023-11-04 10:11:00,5,1315.83,35,3,4,4,344
12577,2023-11-04 13:24:00,3,626.6,34,3,3,3,333
12578,2023-11-18 13:30:00,2,2794.51,20,4,2,5,425
12579,2023-09-22 17:15:00,1,440.42,77,2,1,2,212
12580,2023-04-07 10:24:00,1,415.7,246,1,1,2,112
12581,2023-10-31 08:56:00,1,197.71,39,3,1,1,311
12582,2023-04-15 08:45:00,2,511.36,238,1,2,3,123
12583,2023-12-07 08:07:00,15,7281.38,2,5,5,5,555
12584,2023-12-06 09:35:00,9,2338.15,3,5,5,5,555
12585,2023-04-19 13:39:00,2,2040.1,233,1,2,4,124
12586,2023-11-22 16:24:00,1,196.94000000000003,16,4,1,1,411
12587,2023-12-02 12:47:00,1,144.0,7,5,1,1,511
12588,2023-10-31 15:01:00,1,214.89999999999998,38,3,1,1,311
12589,2023-11-11 10:19:00,2,646.68,28,4,2,3,423
12590,2023-05-12 14:52:00,2,9864.26,210,1,2,5,125
12591,2023-01-26 14:35:00,1,452.84999999999997,316,1,1,2,112
12592,2023-09-08 15:04:00,2,437.6,91,2,2,2,222
12593,2023-08-23 12:43:00,3,418.1,108,2,3,2,232
12594,2023-11-02 12:20:00,10,3338.2200000000003,37,3,5,5,355
12596,2023-10-19 13:02:00,2,618.27,50,3,2,3,323
12597,2023-11-20 13:33:00,4,3811.22,18,4,4,5,445
12598,2023-11-30 12:18:00,8,3023.08,9,5,5,5,555
12599,2023-11-10 13:34:00,7,1032.58,28,4,5,4,454
12600,2023-11-11 10:29:00,10,2599.04,28,4,5,5,455
12601,2023-06-03 10:17:00,5,577.0600000000001,189,1,4,3,143
12602,2023-10-12 11:22:00,1,153.12,58,3,1,1,311
12603,2023-11-18 10:42:00,1,739.1999999999999,21,4,1,3,413
12604,2023-09-21 14:08:00,2,254.18,78,2,2,2,222
12607,2023-10-10 16:06:00,1,1579.51,59,3,1,4,314
12609,2023-09-22 16:34:00,3,1126.85,77,2,3,4,234
12610,2023-11-17 09:34:00,5,2099.54,22,4,4,5,445
12611,2023-10-18 13:12:00,1,1193.32,51,3,1,4,314
12612,2023-09-26 15:35:00,1,704.04,73,2,1,3,213
12613,2023-10-13 14:59:00,5,3344.38,56,3,4,5,345
12614,2023-03-07 10:22:00,1,315.6,277,1,1,2,112
12615,2023-12-07 15:02:00,4,2291.19,1,5,4,5,545
12616,2023-09-05 15:17:00,2,713.3,94,2,2,3,223
12617,2023-11-10 14:39:00,1,352.98,28,4,1,2,412
12618,2023-11-18 11:10:00,1,177.31,21,4,1,1,411
12619,2023-11-23 14:52:00,9,3641.24,15,4,5,5,455
12620,2023-11-25 10:20:00,3,1339.41,14,4,3,4,434
12621,2023-12-08 11:25:00,20,13689.67,1,5,5,5,555
12622,2023-04-21 16:39:00,1,180.1,231,1,1,1,111
12623,2023-03-08 13:50:00,1,305.1,275,1,1,2,112
12624,2023-08-25 15:04:00,2,641.13,105,2,2,3,223
12625,2023-05-12 09:54:00,2,2683.82,211,1,2,5,125
12626,2023-11-16 16:06:00,9,6620.4800000000005,22,4,5,5,455
12627,2023-11-29 12:07:00,7,4478.53,10,5,5,5,555
12628,2023-12-05 13:15:00,3,786.46,3,5,3,3,533
12630,2023-11-30 10:48:00,2,1270.88,9,5,2,4,524
12631,2023-10-13 13:53:00,1,640.5,56,3,1,3,313
12633,2023-10-12 11:40:00,4,2163.98,58,3,4,5,345
12635,2023-09-11 11:04:00,2,1689.18,89,2,2,4,224
12637,2023-10-03 13:46:00,8,6002.9,66,3,5,5,355
12638,2023-11-06 13:11:00,1,671.69,32,4,1,3,413
12639,2023-04-15 12:48:00,1,486.1,238,1,1,2,112
12640,2023-11-16 11:52:00,3,1174.58,23,4,3,4,434
12641,2023-08-16 13:26:00,1,185.9,114,2,1,1,211
12642,2023-11-14 15:03:00,3,1013.26,24,4,3,4,434
12643,2023-08-03 12:56:00,6,3344.64,127,2,5,5,255
12644,2023-08-02 10:33:00,1,477.90999999999997,129,2,1,2,212
12645,2023-11-06 12:38:00,4,1775.18,33,3,4,4,344
12646,2023-12-05 10:14:00,2,1346.97,4,5,2,4,524
12647,2023-11-17 12:56:00,12,3722.82,21,4,5,5,455
12648,2023-07-08 11:55:00,1,318.05,154,2,1,2,212
12649,2023-08-24 14:41:00,3,623.51,106,2,3,3,233
12650,2023-12-06 16:34:00,1,314.44,2,5,1,2,512
12651,2023-01-09 12:46:00,1,114.0,334,1,1,1,111
12652,2023-01-12 15:00:00,1,919.98,330,1,1,3,113
12653,2023-07-14 10:41:00,2,2209.85,148,2,2,5,225
12654,2023-11-29 10:10:00,5,601.98,10,5,4,3,543
12656,2023-11-22 13:42:00,5,4051.17,16,4,4,5,445
12657,2023-11-28 15:47:00,4,1643.18,10,5,4,4,544
12658,2023-11-21 10:22:00,1,686.05,18,4,1,3,413
12659,2023-11-10 11:53:00,1,91.68,29,4,1,1,411
12660,2023-11-28 13:26:00,1,245.10000000000002,10,5,1,1,511
12662,2023-12-09 11:59:00,11,3849.78,0,5,5,5,555
12664,2023-12-01 17:07:00,9,4881.88,7,5,5,5,555
12665,2023-01-19 08:34:00,1,63.0,324,1,1,1,111
12667,2023-10-12 17:00:00,1,620.13,57,3,1,3,313
12668,2023-11-28 10:56:00,4,3807.15,11,5,4,5,545
12669,2023-07-12 09:54:00,3,2744.0299999999997,150,2,3,5,235
12670,2023-11-29 15:23:00,5,2996.05,9,5,4,5,545
12672,2023-01-14 09:20:00,1,225.9,329,1,1,1,111
12673,2023-12-04 13:55:00,2,610.52,4,5,2,3,523
12674,2023-11-01 12:12:00,4,1970.6,38,3,4,4,344
12676,2023-11-15 12:25:00,6,1331.39,24,4,5,4,454
12678,2023-10-28 13:04:00,12,17628.46,41,3,5,5,355
12679,2023-10-12 12:30:00,4,1113.02,58,3,4,4,344
12680,2023-12-09 12:50:00,4,862.81,0,5,4,3,543
12681,2023-11-25 11:33:00,22,13787.54,14,4,5,5,455
12682,2023-12-06 10:00:00,31,12279.82,3,5,5,5,555
12683,2023-12-05 16:31:00,15,8476.57,3,5,5,5,555
12684,2023-12-02 09:53:00,7,2283.63,7,5,5,5,555
12685,2023-11-11 13:46:00,6,2863.08,27,4,5,5,455
12686,2022-12-03 09:51:00,1,89.14,371,1,1,1,111
12688,2023-08-18 08:49:00,1,4873.81,113,2,1,5,215
12689,2023-11-14 08:31:00,2,1247.6100000000001,25,4,2,4,424
12690,2023-05-18 09:09:00,1,389.01,205,1,1,2,112
12691,2023-11-11 16:49:00,6,1035.8,27,4,5,4,454
12693,2023-08-04 17:51:00,4,855.91,126,2,4,3,243
12694,2023-09-30 13:06:00,2,869.67,69,3,2,3,323
12695,2023-12-02 13:22:00,4,582.1,6,5,4,3,543
12697,2023-11-11 08:47:00,3,957.59,28,4,3,4,434
12700,2023-12-02 10:47:00,4,4939.99,7,5,4,5,545
12701,2023-09-21 10:47:00,2,797.71,79,2,2,3,223
12702,2023-11-20 10:36:00,1,219.0,19,4,1,1,411
12703,2023-09-29 17:52:00,1,283.55,70,3,1,2,312
12704,2023-12-02 13:15:00,8,2340.84,6,5,5,5,555
12705,2023-11-24 13:17:00,9,6868.29,14,4,5,5,455
12707,2023-02-21 08:38:00,1,603.42,291,1,1,3,113
12708,2023-11-10 09:52:00,10,2712.91,29,4,5,5,455
12709,2023-11-24 15:38:00,15,9706.52,14,4,5,5,455
12710,2023-09-04 12:00:00,3,1149.02,96,2,3,4,234
12712,2023-11-11 08:19:00,13,4396.13,28,4,5,5,455
12713,2023-12-09 12:16:00,1,848.55,0,5,1,3,513
12714,2023-11-30 15:43:00,5,4708.86,8,5,4,5,545
12715,2023-08-25 15:22:00,1,343.36,105,2,1,2,212
12716,2023-12-06 08:55:00,2,1053.49,3,5,2,4,524
12717,2023-07-11 14:47:00,2,1030.98,150,2,2,4,224
12718,2023-09-29 16:38:00,1,238.25,70,3,1,1,311
12719,2023-12-04 13:45:00,2,644.95,4,5,2,3,523
12720,2023-12-07 08:03:00,25,5781.7300000000005,2,5,5,5,555
12721,2023-11-08 12:13:00,6,2656.13,31,4,5,5,455
12722,2023-09-15 14:50:00,4,997.63,84,2,4,4,244
12723,2023-12-06 10:19:00,5,725.07,3,5,4,3,543
12724,2023-12-04 16:02:00,4,1031.41,4,5,4,4,544
12725,2022-12-03 15:45:00,1,427.8,370,1,1,2,112
12726,2023-11-11 13:35:00,7,2609.1,27,4,5,5,455
12727,2023-11-29 11:46:00,7,3980.7000000000003,10,5,5,5,555
12728,2023-09-29 15:31:00,4,836.33,70,3,4,3,343
12729,2023-08-18 11:40:00,1,453.01,113,2,1,2,212
12731,2023-11-16 11:59:00,12,18895.91,23,4,5,5,455
12732,2023-06-13 11:33:00,1,236.26000000000002,179,1,1,1,111
12733,2023-04-19 16:19:00,1,383.95,233,1,1,2,112
12734,2022-12-22 12:47:00,1,110.39999999999999,352,1,1,1,111
12735,2023-01-28 13:37:00,2,779.5699999999999,314,1,2,3,123
12736,2023-01-11 07:57:00,1,234.0,332,1,1,1,111
12738,2022-12-02 18:27:00,1,155.35,371,1,1,1,111
12739,2023-09-22 13:00:00,2,1013.04,77,2,2,4,224
12740,2023-10-07 10:44:00,1,427.6,63,3,1,2,312
12743,2023-07-28 16:21:00,2,540.13,133,2,2,3,223
12744,2023-10-19 11:18:00,7,21279.29,51,3,5,5,355
12747,2023-12-07 14:34:00,11,4196.01,1,5,5,5,555
12748,2023-12-09 12:20:00,209,33053.19,0,5,5,5,555
12749,2023-12-06 09:56:00,5,4090.88,3,5,4,5,545
12750,2023-08-03 09:13:00,1,275.88,128,2,1,2,212
12752,2023-09-19 13:32:00,1,4366.78,80,2,1,5,215
12753,2023-11-17 10:52:00,6,21429.39,22,4,5,5,455
12754,2023-04-18 09:00:00,3,3010.74,235,1,3,5,135
12755,2023-03-04 12:42:00,2,3811.9500000000003,280,1,2,5,125
12756,2023-09-14 09:31:00,1,112.08,86,2,1,1,211
12757,2023-11-24 12:30:00,13,7834.650000000001,15,4,5,5,455
12758,2023-08-15 10:22:00,2,2791.59,116,2,2,5,225
12759,2023-10-18 14:49:00,3,1531.44,51,3,3,4,334
12762,2023-12-02 10:23:00,2,1898.52,7,5,2,4,524
12763,2023-07-24 14:12:00,2,494.08,137,2,2,3,223
12764,2023-01-27 10:19:00,1,1693.88,316,1,1,4,114
12766,2023-12-06 08:46:00,7,6989.63,3,5,5,5,555
12769,2023-04-15 10:25:00,1,1143.6,238,1,1,4,114
12770,2023-05-13 09:33:00,1,1351.45,210,1,1,4,114
12772,2023-10-11 09:19:00,1,892.47,59,3,1,3,313
12775,2023-11-22 16:33:00,5,1386.04,16,4,4,4,444
12778,2023-11-20 11:30:00,6,822.23,19,4,5,3,453
12779,2023-11-02 11:43:00,8,3981.36,37,3,5,5,355
12781,2023-10-07 10:37:00,2,826.74,63,3,2,3,323
12782,2023-12-05 09:16:00,5,2330.92,4,5,4,5,545
12783,2023-12-07 15:56:00,6,2225.91,1,5,5,5,555
12784,2023-11-30 15:38:00,2,532.82,8,5,2,3,523
12785,2022-12-10 13:48:00,1,311.95,363,1,1,2,112
12787,2023-11-30 08:44:00,3,463.66,9,5,3,2,532
12789,2023-10-05 13:34:00,1,91.85,64,3,1,1,311
12790,2023-05-31 14:14:00,1,324.92,191,1,1,2,112
12791,2022-12-01 11:27:00,1,192.60000000000002,373,1,1,1,111
12792,2023-03-28 11:36:00,1,400.54,256,1,1,2,112
12793,2023-01-09 12:12:00,2,545.48,334,1,2,3,123
12794,2023-10-17 14:54:00,2,860.41,52,3,2,3,323
12795,2023-11-21 10:27:00,1,430.48,18,4,1,2,412
12797,2022-12-09 10:55:00,1,254.03,365,1,1,2,112
12798,2023-11-29 15:52:00,3,6977.04,9,5,3,5,535
12802,2023-06-06 09:36:00,1,427.58,186,1,1,2,112
12808,2023-11-03 10:05:00,3,483.65000000000003,36,3,3,2,332
12809,2023-06-15 10:51:00,1,489.31,177,2,1,3,213
12811,2023-03-24 09:42:00,3,514.85,260,1,3,3,133
12812,2023-10-26 09:54:00,1,229.64000000000001,44,3,1,1,311
12814,2023-08-30 12:11:00,1,125.92,101,2,1,1,211
12815,2023-07-15 10:21:00,2,1063.46,147,2,2,4,224
12816,2023-09-05 12:41:00,2,572.2,95,2,2,3,223
12817,2023-03-03 16:28:00,1,166.04000000000002,280,1,1,1,111
12818,2023-03-23 12:06:00,1,1542.08,261,1,1,4,114
12820,2023-12-06 15:12:00,4,942.34,2,5,4,4,544
12821,2023-05-09 15:51:00,1,92.72,213,1,1,1,111
12822,2023-09-30 10:04:00,2,948.88,70,3,2,4,324
12823,2023-09-26 07:35:00,5,1759.5,74,2,4,4,244
12824,2023-10-11 12:49:00,1,397.12,59,3,1,2,312
12826,2023-12-07 10:25:00,7,1474.72,2,5,5,4,554
12827,2023-12-04 12:17:00,3,430.15,5,5,3,2,532
12828,2023-12-07 08:45:00,6,1018.71,2,5,5,4,554
12829,2023-01-07 11:13:00,2,293.0,336,1,2,2,122
12830,2023-11-02 11:54:00,6,6814.64,37,3,5,5,355
12831,2023-03-22 13:02:00,1,215.05,261,1,1,1,111
12832,2023-11-07 13:30:00,2,383.03000000000003,31,4,2,2,422
12833,2023-07-17 13:46:00,1,417.38,144,2,1,2,212
12834,2023-03-02 09:49:00,1,312.38,282,1,1,2,112
12836,2023-10-11 15:10:00,4,2610.36,58,3,4,5,345
12837,2023-06-19 16:07:00,1,134.1,172,2,1,1,211
12838,2023-11-06 12:20:00,2,671.95,33,3,2,3,323
12839,2023-12-07 12:33:00,14,5591.42,2,5,5,5,555
12840,2023-07-19 09:29:00,4,2726.77,143,2,4,5,245
12841,2023-12-05 11:13:00,25,3991.58,4,5,5,5,555
12842,2023-09-30 15:33:00,2,1118.99,69,3,2,4,324
12843,2023-10-05 12:09:00,8,1702.26,65,3,5,4,354
12844,2023-11-10 13:31:00,2,325.96000000000004,28,4,2,2,422
12845,2023-03-17 13:34:00,4,354.09000000000003,266,1,4,2,142
12847,2023-11-17 13:16:00,1,843.64,21,4,1,3,413
12849,2023-11-08 13:41:00,2,1010.29,30,4,2,4,424
12851,2023-09-04 12:41:00,1,131.81,96,2,1,1,211
12852,2023-02-18 08:47:00,1,311.55,294,1,1,2,112
12853,2023-07-28 11:29:00,6,1957.1000000000001,134,2,5,4,254
12854,2023-09-22 12:15:00,3,1316.25,78,2,3,4,234
12855,2022-12-02 09:37:00,1,38.1,372,1,1,1,111
12856,2023-12-02 10:52:00,6,2170.78,7,5,5,5,555
12857,2023-05-13 10:20:00,2,1106.4,210,1,2,4,124
12863,2023-10-18 14:15:00,1,521.2,51,3,1,3,313
12864,2023-07-24 13:03:00,1,147.12,137,2,1,1,211
12865,2023-11-13 14:31:00,2,1568.23,25,4,2,4,424
12866,2023-03-01 14:11:00,1,559.12,282,1,1,3,113
12867,2023-11-13 15:30:00,7,4009.34,25,4,5,5,455
12868,2023-06-07 10:42:00,6,1607.0600000000002,185,1,5,4,154
12871,2023-09-16 15:07:00,2,380.64,83,2,2,2,222
12872,2023-01-17 10:52:00,2,599.97,326,1,2,3,123
12873,2023-03-02 14:58:00,1,374.0,281,1,1,2,112
12875,2023-07-19 15:30:00,2,343.2300000000001,142,2,2,2,222
12876,2023-10-13 12:26:00,2,2218.02,57,3,2,5,325
12877,2023-12-06 10:30:00,12,1535.77,3,5,5,4,554
12878,2023-04-17 13:07:00,2,854.99,235,1,2,3,123
12879,2023-10-26 12:24:00,3,573.22,44,3,3,3,333
12881,2023-03-09 11:44:00,1,298.0,275,1,1,2,112
