StockCode,Description,Total_Quantity_Sold,Total_Revenue,Number_of_Orders,Unique_Customers
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,385,275
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8075,22101.77,595,281
21931,JUMBO STORAGE BAG SUKI,11513,21784.84,774,333
48185,DOORMAT FAIRY CAKE,3427,21171.79,241,143
22961,JAM MAKING SET PRINTED,15039,21147.55,868,537
21621,VINTAGE UNION JACK BUNTING,2538,20945.16,391,267
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,377
22726,ALARM CLOCK BAKELIKE GREEN,5630,20839.15,789,322
22666,RECIPE BOX PANTRY YELLOW DESIGN,7366,20838.62,828,471
15056N,EDWARDIAN PARASOL NATURAL,3822,20672.91,378,184
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,363
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5360,20482.6,653,393
85066,CREAM SWEETHEART MINI CHEST,1696,20448.17,445,289
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4239,20426.23,823,488
21166,COOK WITH WINE METAL SIGN ,10169,20232.13,602,287
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10490,20116.38,790,375
22630,DOLLY GIRL LUNCH BOX,11323,20104.09,616,287
22111,SCOTTIE DOG HOT WATER BOTTLE,4248,20049.9,656,425
82482,WOODEN PICTURE FRAME WHITE FINISH,8256,19945.45,876,410
48194,DOORMAT HEARTS,3268,19924.66,480,286
21731,RED TOADSTOOL LED NIGHT LIGHT,12863,19831.71,522,266
22659,LUNCH BOX I LOVE LONDON,11075,19316.17,504,213
21523,DOORMAT FANCY FONT HOME SWEET HOME,3087,19149.07,397,203
20713,JUMBO BAG OWLS,10451,19047.02,411,207
22090,PAPER BUNTING RETROSPOT,6877,18785.99,567,325
22728,ALARM CLOCK BAKELIKE PINK,5066,18539.09,613,291
21929,JUMBO BAG PINK VINTAGE PAISLEY,9888,18427.9,602,308
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866,401
20727,LUNCH BAG  BLACK SKULL.,11246,17950.3,1052,458
21843,RED RETROSPOT CAKE STAND,1808,17918.8,421,260
22697,GREEN REGENCY TEACUP AND SAUCER,6406,17735.54,691,387
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586,391
82494L,WOODEN FRAME ANTIQUE WHITE ,6268,17583.77,811,392
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6469,17569.59,458,227
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7892,17554.27,305,192
22969,HOMEMADE JAM SCENTED CANDLES,12080,17504.2,518,429
22467,GUMBALL COAT RACK,7652,17488.55,570,262
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10070,17291.57,192,160
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15940,17226.2,239,167
20728,LUNCH BAG CARS BLUE,10789,17214.53,966,479
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454,299
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,5654,16566.34,221,145
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5871,16537.13,763,356
21212,PACK OF 72 RETROSPOT CAKE CASES,33670,16381.88,1029,635
22384,LUNCH BAG PINK POLKADOT,10226,16303.3,931,444
22865,HAND WARMER OWL DESIGN,8056,16113.73,572,375
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,324,194
22492,MINI PAINT SET VINTAGE ,26076,16039.24,325,213
21485,RETROSPOT HEART HOT WATER BOTTLE,3326,15827.18,533,371
22382,LUNCH BAG SPACEBOY DESIGN ,9875,15820.15,988,490
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6,492,248
21754,HOME BUILDING BLOCK WORD,2633,15504.51,691,360
85152,HAND OVER THE CHOCOLATE   SIGN ,8138,15484.51,590,270
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3729,15386.07,514,325
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899,399
22385,JUMBO BAG SPACEBOY DESIGN,8231,15320.75,477,247
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,291,142
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534,348
22077,6 RIBBONS RUSTIC CHARM,8594,14969.84,726,413
22698,PINK REGENCY TEACUP AND SAUCER,5307,14663.29,556,319
22624,IVORY KITCHEN SCALES,1765,14638.73,620,376
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451,232
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2324,14573.72,509,241
20726,LUNCH BAG WOODLAND,9091,14497.51,820,372
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866,431
22197,SMALL POPCORN HOLDER,18241,13789.37,403,228
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528,13788.3,323,208
22835,HOT WATER BOTTLE I AM SO POORLY,2939,13685.13,505,316
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54319,13558.41,472,307
48184,DOORMAT ENGLISH ROSE ,1972,13447.1,356,227
22084,PAPER CHAIN KIT EMPIRE,4885,13411.55,374,277
84029E,RED WOOLLY HOTTIE WHITE HEART.,3676,13311.26,321,228
22847,BREAD BIN DINER STYLE IVORY,847,13131.89,341,214
22622,BOX OF VINTAGE ALPHABET BLOCKS,1295,13035.66,231,174
23200,JUMBO BAG PEARS,6729,13034.92,470,262
84078A,SET/4 WHITE RETRO STORAGE CUBES ,357,13007.15,106,79
23108,SET OF 10 LED DOLLY LIGHTS,2192,12972.73,351,271
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,359,254
23356,LOVE HOT WATER BOTTLE,2325,12954.75,449,316
82583,HOT BATHS METAL SIGN,6367,12731.34,385,206
84978,HANGING HEART JAR T-LIGHT HOLDER,10961,12650.97,572,304
22752,SET 7 BABUSHKA NESTING BOXES,1651,12639.79,297,188
22558,CLOTHES PEGS RETROSPOT PACK 24 ,8405,12525.21,639,363
23301,GARDENERS KNEELING PAD KEEP CALM ,7722,12463.78,756,405
22507,MEMO BOARD RETROSPOT  DESIGN,2786,12411.02,348,230
22188,BLACK HEART CARD HOLDER,4843,12257.95,166,123
20750,RED RETROSPOT MINI CASES,1711,12208.85,365,235
22866,HAND WARMER SCOTTY DOG DESIGN,6097,12204.66,471,329
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1706,12160.08,304,172
22113,GREY HEART HOT WATER BOTTLE,3145,12148.9,511,337
22551,PLASTERS IN TIN SPACEBOY,7656,12138.6,579,339
22941,CHRISTMAS LIGHTS 10 REINDEER,1570,12133.0,253,205
20749,ASSORTED COLOUR MINI CASES,1717,12107.51,365,239
22867,HAND WARMER BIRD DESIGN,5993,12064.63,474,333
21524,DOORMAT SPOTTY HOME SWEET HOME,1657,12055.32,405,251
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,647,377
22083,PAPER CHAIN KIT RETROSPOT,4265,11935.31,444,294
22379,RECYCLING BAG RETROSPOT ,6074,11913.03,407,187
DOT,DOTCOM POSTAGE,16,11906.36,16,1
22625,RED KITCHEN SCALES,1469,11836.23,448,292
22568,FELTCRAFT CUSHION OWL,3277,11756.8,417,244
22273,FELTCRAFT DOLL MOLLY,4464,11748.24,293,211
47590B,PINK HAPPY BIRTHDAY BUNTING,2283,11666.35,359,238
22554,PLASTERS IN TIN WOODLAND ANIMALS,7297,11620.93,587,351
20971,PINK BLUE FELT CRAFT TRINKET BOX,10217,11619.39,457,277
23077,DOUGHNUT LIP GLOSS ,9642,11615.7,308,217
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24230,11611.0,669,410
23174,REGENCY SUGAR BOWL GREEN,2954,11567.24,268,190
22607,WOODEN ROUNDERS GARDEN SET ,1265,11561.34,303,224
22149,FELTCRAFT 6 FLOWER FRIENDS,5882,11549.59,461,337
48188,DOORMAT WELCOME PUPPIES,2027,11536.25,252,163
22191,IVORY DINER WALL CLOCK,1419,11527.7,391,239
22427,ENAMEL FLOWER JUG CREAM,1991,11421.13,441,311
21755,LOVE BUILDING BLOCK WORD,1923,11398.71,555,337
82486,WOOD S/3 CABINET ANT WHITE FINISH,1364,11343.2,373,183
22193,RED DINER WALL CLOCK,1349,11048.89,416,206
21232,STRAWBERRY CERAMIC TRINKET BOX,9318,10883.02,507,296
21930,JUMBO STORAGE BAG SKULLS,5694,10865.83,471,220
22501,PICNIC BASKET WICKER LARGE,1192,10799.0,257,187
22570,FELTCRAFT CUSHION RABBIT,3012,10672.31,324,202
22413,METAL SIGN TAKE IT OR LEAVE IT ,3687,10638.45,351,228
21790,VINTAGE SNAP CARDS,13329,10441.47,722,449
47566B,TEA TIME PARTY BUNTING,2288,10430.4,313,192
21936,RED RETROSPOT PICNIC BAG,3756,10365.76,385,223
23209,LUNCH BAG VINTAGE DOILY ,6438,10347.66,538,319
22662,LUNCH BAG DOLLY GIRL DESIGN,6527,10330.99,598,310
23209,LUNCH BAG DOILEY PATTERN ,6477,10323.05,464,290
22730,ALARM CLOCK BAKELIKE IVORY,2721,10259.36,468,241
22087,PAPER BUNTING WHITE LACE,3772,10243.4,257,155
85014B,RED RETROSPOT UMBRELLA,1841,10217.72,303,210
21479,WHITE SKULL HOT WATER BOTTLE ,2699,10215.47,378,252
22617,BAKING SET SPACEBOY DESIGN,2153,10210.89,424,296
23170,REGENCY TEA PLATE ROSES ,6563,10170.99,328,224
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,925,10123.16,260,179
20724,RED RETROSPOT CHARLOTTE BAG,12805,10122.45,739,335
47590A,BLUE HAPPY BIRTHDAY BUNTING,1948,10096.62,355,228
22988,SOLDIERS EGG CUP ,8757,10070.22,327,197
21891,TRADITIONAL WOODEN SKIPPING ROPE,7904,9998.32,340,264
23208,LUNCH BAG VINTAGE LEAF DESIGN,6191,9950.35,597,305
23300,GARDENERS KNEELING PAD CUP OF TEA ,6285,9933.69,635,351
22499,WOODEN UNION JACK BUNTING,1734,9928.83,296,217
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2523,9827.25,211,150
48173C,DOORMAT BLACK FLOCK ,1784,9797.75,173,105
23343,JUMBO BAG VINTAGE CHRISTMAS ,4905,9742.1,385,286
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12305,9649.99,732,427
23076,ICE CREAM SUNDAE LIP GLOSS,7896,9638.16,248,202
22569,FELTCRAFT CUSHION BUTTERFLY,2692,9632.98,294,192
22690,DOORMAT HOME SWEET HOME BLUE ,1595,9619.99,261,198
84997B,CHILDRENS CUTLERY RETROSPOT RED ,2492,9603.68,229,157
22846,BREAD BIN DINER STYLE RED ,626,9597.31,249,158
22556,PLASTERS IN TIN CIRCUS PARADE ,5947,9588.71,521,305
22970,LONDON BUS COFFEE MUG,4213,9582.15,276,180
82600,NO SINGING METAL SIGN,4635,9571.5,384,207
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,15563,9566.51,529,318
22605,WOODEN CROQUET GARDEN SET,709,9555.98,240,181
22633,HAND WARMER UNION JACK,4730,9516.96,441,300
22692,DOORMAT WELCOME TO OUR HOME,1376,9451.58,338,231
22555,PLASTERS IN TIN STRONGMAN,5874,9444.14,449,294
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2698,9401.82,319,186
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1266,9374.7,214,170
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2465,9313.17,319,211
22621,TRADITIONAL KNITTING NANCY,5893,9294.57,509,366
22560,TRADITIONAL MODELLING CLAY,7990,9281.47,336,229
22766,PHOTO FRAME CORNICE,3176,9277.28,454,278
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8219,9271.84,278,177
23240,SET OF 4 KNICK KNACK TINS DOILY ,2286,9237.3,312,230
21914,BLUE HARMONICA IN BOX ,7431,9218.88,517,306
21481,FAWN BLUE HOT WATER BOTTLE,2919,9196.05,379,253
23171,REGENCY TEA PLATE GREEN ,5966,9184.9,270,195
22978,PANTRY ROLLING PIN,2406,9180.53,197,153
21217,RED RETROSPOT ROUND CAKE TINS,974,9178.3,257,167
22561,WOODEN SCHOOL COLOURING SET,5690,9064.62,395,288
20679,EDWARDIAN PARASOL RED,1630,9055.87,270,141
23175,REGENCY MILK JUG PINK ,3062,8995.0,272,206
22992,REVOLVER WOODEN RULER ,4914,8944.44,285,217
22838,3 TIER CAKE TIN RED AND CREAM,652,8737.78,136,115
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,3711,8721.89,426,233
85150,LADIES & GENTLEMEN METAL SIGN,3898,8696.58,367,196
84375,SET OF 20 KIDS COOKIE CUTTERS,4139,8676.27,416,290
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7106,8617.24,535,312
22966,GINGERBREAD MAN COOKIE CUTTER,7196,8615.13,554,388
84991,60 TEATIME FAIRY CAKE CASES,17664,8604.62,657,414
22619,SET OF 6 SOLDIER SKITTLES,2290,8571.25,339,250
82582,AREA PATROLLED METAL SIGN,4288,8548.02,374,176
22632,HAND WARMER RED RETROSPOT,4268,8513.52,341,258
23582,VINTAGE DOILY JUMBO BAG RED ,4434,8508.22,234,186
21791,VINTAGE HEADS AND TAILS CARD GAME ,7118,8500.16,485,342
23581,JUMBO BAG PAISLEY PARK,4358,8498.04,302,230
22424,ENAMEL BREAD BIN CREAM,711,8493.5,326,189
22041,"RECORD FRAME 7"" SINGLE SIZE ",3812,8450.82,196,73
22169,FAMILY ALBUM WHITE PICTURE FRAME,1074,8408.14,286,165
22776,SWEETHEART CAKESTAND 3 TIER,891,8366.65,326,252
21174,POTTERING IN THE SHED METAL SIGN,3922,8364.64,371,225
23318,BOX OF 6 MINI VINTAGE CRACKERS,3645,8345.43,329,270
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1836,8330.12,241,150
22989,SET 2 PANTRY DESIGN TEA TOWELS,2693,8310.17,311,241
22147,FELTCRAFT BUTTERFLY HEARTS,6123,8308.75,436,287
22791,T-LIGHT GLASS FLUTED ANTIQUE,7264,8288.89,260,184
22759,SET OF 3 NOTEBOOKS IN PARCEL,5197,8267.25,319,253
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,10267,8259.25,306,208
23319,BOX OF 6 MINI 50'S CRACKERS,3520,8169.48,365,300
71459,HANGING JAM JAR T-LIGHT HOLDER,10528,8164.12,310,193
23322,LARGE WHITE HEART OF WICKER,2892,8137.5,511,350
22655,VINTAGE RED KITCHEN CABINET,60,8125.0,38,34
23082,SET 6 PAPER TABLE LANTERN HEARTS ,2260,8110.68,263,205
23078,ICE CREAM PEN LIP GLOSS ,6607,8077.31,213,159
48116,DOORMAT MULTICOLOUR STRIPE,1418,8045.27,141,88
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2839,8040.27,329,278
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2210,8022.76,401,275
22158,3 HEARTS HANGING DECORATION RUSTIC,2845,8013.71,261,196
22729,ALARM CLOCK BAKELIKE ORANGE,2179,7984.38,359,179
23256,CHILDRENS CUTLERY SPACEBOY ,1980,7966.08,316,225
21210,SET OF 72 RETROSPOT PAPER  DOILIES,5677,7943.02,365,244
23080,RED METAL BOX TOP SECRET,998,7920.78,221,148
22667,RECIPE BOX RETROSPOT ,2851,7896.85,441,233
21121,SET/10 RED POLKADOT PARTY CANDLES,6498,7794.18,336,238
22652,TRAVEL SEWING KIT,4859,7779.11,394,263
72741,GRAND CHOCOLATECANDLE,5783,7758.95,249,195
22502,PICNIC BASKET WICKER SMALL,1424,7728.85,232,175
84378,SET OF 3 HEART COOKIE CUTTERS,6001,7719.34,521,376
20711,JUMBO BAG TOYS ,4198,7689.28,245,152
22940,FELTCRAFT CHRISTMAS FAIRY,1881,7658.93,302,240
22768,FAMILY PHOTO FRAME CORNICE,836,7636.89,233,184
35970,ZINC FOLKART SLEIGH BELLS,4627,7631.31,339,270
23439,HAND WARMER RED LOVE HEART,3721,7574.1,371,268
22192,BLUE DINER WALL CLOCK,907,7528.93,338,179
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2063,7495.29,281,195
21136,PAINTED METAL PEARS ASSORTED,4454,7454.22,352,259
22952,60 CAKE CASES VINTAGE CHRISTMAS,14712,7405.2,466,342
21314,SMALL GLASS HEART TRINKET POT,3664,7399.96,342,215
22557,PLASTERS IN TIN VINTAGE PAISLEY ,4564,7331.84,480,315
21770,OPEN CLOSED METAL SIGN,1574,7296.51,341,263
20719,WOODLAND CHARLOTTE BAG,9219,7261.94,531,238
22616,PACK OF 12 LONDON TISSUES ,25329,7261.77,382,195
21908,CHOCOLATE THIS WAY METAL SIGN,3633,7204.32,374,220
21889,WOODEN BOX OF DOMINOES,5766,7200.95,449,336
22900, SET 2 TEA TOWELS I LOVE LONDON ,2621,7190.95,192,131
84949,SILVER HANGING T-LIGHT HOLDER,4653,7173.45,250,165
22585,PACK OF 6 BIRDY GIFT TAGS,6051,7135.95,319,241
23240,SET OF 4 KNICK KNACK TINS DOILEY ,1802,7132.7,172,142
84406B,CREAM CUPID HEARTS COAT HANGER,1917,7121.23,241,133
23238,SET OF 4 KNICK KNACK TINS LONDON ,1775,7116.65,233,150
22355,CHARLOTTE BAG SUKI DESIGN,8947,7114.85,585,249
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3459,7109.2,421,319
84836,ZINC METAL HEART DECORATION,5750,7099.93,476,311
22750,FELTCRAFT PRINCESS LOLA DOLL,1945,7095.69,378,247
22795,SWEETHEART RECIPE BOOK STAND,1098,7077.9,287,170
21218,RED SPOTTY BISCUIT TIN,2058,7071.2,203,130
23007, SPACEBOY BABY GIFT SET,449,7048.55,142,110
22741,FUNKY DIVA PEN,8328,7010.94,155,107
22950,36 DOILIES VINTAGE CHRISTMAS,5152,7004.8,160,151
21787,RAIN PONCHO RETROSPOT,8752,6962.08,180,115
23215,JINGLE BELL HEART ANTIQUE SILVER,3544,6955.8,197,162
22767,TRIPLE PHOTO FRAME CORNICE ,761,6932.83,208,152
23320,GIANT 50'S CHRISTMAS CRACKER,2628,6907.52,310,260
21231,SWEETHEART CERAMIC TRINKET BOX,5748,6864.61,381,215
21213,PACK OF 72 SKULL CAKE CASES,14302,6855.46,499,295
22991,GIRAFFE WOODEN RULER,3708,6816.84,234,185
22456,NATURAL SLATE CHALKBOARD LARGE ,1448,6813.4,303,220
84970S,HANGING HEART ZINC T-LIGHT HOLDER,8444,6808.49,412,271
21035,SET/2 RED RETROSPOT TEA TOWELS ,2315,6807.01,219,151
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5657,6803.17,321,168
23321,SMALL WHITE HEART OF WICKER,4262,6798.1,582,378
22487,WHITE WOOD GARDEN PLANT LADDER,723,6768.86,379,278
22844,VINTAGE CREAM DOG FOOD CONTAINER,823,6753.85,292,176
22333,RETROSPOT PARTY BAG + STICKER SET,4389,6745.93,267,167
21169,YOU'RE CONFUSING ME METAL SIGN ,4270,6743.98,342,191
23493,VINTAGE DOILY TRAVEL SEWING KIT,3516,6736.2,349,282
23083,SET 6 PAPER TABLE LANTERN STARS ,1859,6735.88,209,161
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1874,6726.81,257,157
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5287,6711.0,498,325
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2848,6705.04,324,185
21877,HOME SWEET HOME MUG,5340,6698.56,293,174
48111,DOORMAT 3 SMILEY CATS,1104,6690.8,174,111
C2,CARRIAGE,134,6686.0,133,29
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4260,6677.0,140,123
22634,CHILDS BREAKFAST SET SPACEBOY ,728,6652.0,203,155
21955,DOORMAT UNION JACK GUNS AND ROSES,1157,6619.41,155,108
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1688,6599.06,166,114
22840,ROUND CAKE TIN VINTAGE RED,888,6576.88,250,193
22294,HEART FILIGREE DOVE  SMALL,5362,6574.82,246,162
22627,MINT KITCHEN SCALES,789,6574.29,304,193
22968,ROSE COTTAGE KEEPSAKE BOX ,728,6565.0,144,118
22367,CHILDRENS APRON SPACEBOY DESIGN,3537,6560.79,448,298
22725,ALARM CLOCK BAKELIKE CHOCOLATE,1772,6559.26,322,171
23008,DOLLY GIRL BABY GIFT SET,419,6534.05,120,99
23254,CHILDRENS CUTLERY DOLLY GIRL ,1621,6525.55,268,197
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8111,6520.91,489,368
22553,PLASTERS IN TIN SKULLS,4009,6461.25,439,281
23293,SET OF 12 FAIRY CAKE BAKING CASES,8228,6457.0,465,323
23134,LARGE ZINC HEART WALL ORGANISER,1064,6414.48,37,29
21259,VICTORIAN SEWING BOX SMALL ,1123,6402.36,237,133
21165,BEWARE OF THE CAT METAL SIGN ,4025,6401.93,359,178
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1023,6378.15,225,142
85014A,BLACK/BLUE POLKADOT UMBRELLA,1132,6361.99,256,183
21122,SET/10 PINK POLKADOT PARTY CANDLES,5251,6346.08,304,214
22637,PIGGY BANK RETROSPOT ,2615,6298.37,262,188
22505,MEMO BOARD COTTAGE DESIGN,1361,6286.39,262,186
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2149,6267.39,337,210
84992,72 SWEETHEART FAIRY CAKE CASES,13029,6252.35,501,325
23553,LANDMARK FRAME CAMDEN TOWN ,557,6244.85,62,50
21669,BLUE STRIPE CERAMIC DRAWER KNOB,4936,6239.4,351,167
22381,TOY TIDY PINK POLKADOT,3167,6225.38,289,133
21533,RETROSPOT LARGE MILK JUG,1307,6217.65,310,209
22826,LOVE SEAT ANTIQUE WHITE METAL,58,6210.0,41,33
21668,RED STRIPE CERAMIC DRAWER KNOB,5001,6177.53,333,169
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,163,136
21871,SAVE THE PLANET MUG,5264,6150.13,270,133
23229,VINTAGE DONKEY TAIL GAME ,1750,6146.89,215,182
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,707,6124.13,186,129
23480,MINI LIGHTS WOODLAND MUSHROOMS,1717,6118.59,173,143
22834,HAND WARMER BABUSHKA DESIGN,4604,6118.43,288,199
22631,CIRCUS PARADE LUNCH BOX ,3371,6114.83,256,168
22303,COFFEE MUG APPLES DESIGN,2764,6108.85,229,155
23541,WALL ART CLASSIC PUDDINGS ,821,6093.49,118,95
75049L,LARGE CIRCULAR MIRROR MOBILE,6809,6092.05,118,71
23103,JINGLE BELL HEART DECORATION,3679,6055.95,307,223
22635,CHILDS BREAKFAST SET DOLLY GIRL ,656,6053.05,180,143
21326,AGED GLASS SILVER T-LIGHT HOLDER,10040,6052.0,277,168
47556B,TEA TIME TEA TOWELS ,2600,6045.0,2,1
22663,JUMBO BAG DOLLY GIRL DESIGN,3096,6006.33,317,171
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11661,5974.39,504,366
17003,BROCADE RING PURSE ,22927,5969.61,206,136
22654,DELUXE SEWING KIT ,1057,5968.67,222,157
22620,4 TRADITIONAL SPINNING TOPS,4486,5952.83,364,260
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1274,5939.28,159,128
22783,SET 3 WICKER OVAL BASKETS W LIDS,462,5922.12,32,29
22508,DOORSTOP RETROSPOT HEART,1511,5919.46,236,177
21975,PACK OF 60 DINOSAUR CAKE CASES,12106,5919.28,529,287
22151,PLACE SETTING WHITE HEART,14853,5912.19,289,174
21380,WOODEN HAPPY BIRTHDAY GARLAND,2090,5901.3,232,138
21155,RED RETROSPOT PEG BAG,2458,5874.95,354,205
22900,SET 2 TEA TOWELS I LOVE LONDON ,1947,5839.75,176,111
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1975,5839.59,238,163
22356,CHARLOTTE BAG PINK POLKADOT,7303,5838.09,487,220
47591D,PINK FAIRY CAKE CHILDRENS APRON,3140,5815.56,397,250
21535,RED RETROSPOT SMALL MILK JUG,2450,5804.7,310,204
23172,REGENCY TEA PLATE PINK,3688,5793.28,224,160
22979,PANTRY WASHING UP BRUSH,3913,5785.71,304,225
21484,CHICK GREY HOT WATER BOTTLE,1545,5770.27,282,205
22779,WOODEN OWLS LIGHT GARLAND ,1532,5768.6,147,88
23247,BISCUIT TIN 50'S CHRISTMAS,2048,5760.52,271,231
22804,CANDLEHOLDER PINK HANGING HEART,2035,5739.33,343,222
