Orders,Total_Spend,Avg_Order_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Products,Customer_Lifetime_Days,Recency_Days,Customer_Type
21,124914.53,174.95,77374,2023-01-06 11:12:00,2023-11-15 14:22:00,444,313,23,VIP
9,3649.1,19.01,1552,2022-12-17 11:51:00,2023-12-06 14:52:00,158,354,2,VIP
1,668.58,19.66,407,2023-08-19 11:08:00,2023-08-19 11:08:00,34,0,112,Regular
1,600.39,20.7,345,2023-10-07 08:55:00,2023-10-07 08:55:00,29,0,63,Regular
4,807.04,17.93,484,2023-01-24 15:09:00,2023-11-24 09:07:00,32,303,15,Regular
3,803.56,20.6,370,2023-01-19 09:13:00,2023-09-05 09:48:00,39,229,95,Regular
8,1859.31,14.87,1339,2022-12-21 10:54:00,2023-12-09 10:10:00,97,352,0,Frequent
2,1760.96,58.7,740,2023-06-30 12:06:00,2023-06-30 12:06:00,30,0,162,Regular
1,777.2,21.59,496,2023-09-22 17:31:00,2023-09-22 17:31:00,36,0,77,Regular
1,582.73,19.42,258,2023-05-29 12:26:00,2023-05-29 12:26:00,30,0,194,At Risk
3,825.8,26.64,533,2022-12-03 10:44:00,2023-11-18 08:56:00,26,349,21,Regular
9,7956.46,27.06,3536,2023-03-01 09:33:00,2023-11-14 08:22:00,258,257,25,VIP
4,3750.4,38.66,1557,2022-12-09 12:05:00,2023-11-30 17:22:00,82,356,8,High Value
1,256.4,23.31,117,2023-10-27 15:09:00,2023-10-27 15:09:00,11,0,42,Regular
15,6419.95,27.44,2896,2022-12-01 10:03:00,2023-11-04 11:55:00,163,338,35,VIP
5,5059.32,46.85,1801,2023-06-20 13:27:00,2023-10-28 11:43:00,107,129,42,High Value
7,13375.87,31.85,11071,2022-12-01 13:24:00,2023-12-09 10:02:00,219,372,0,VIP
2,806.14,16.12,394,2023-03-24 13:05:00,2023-09-16 12:38:00,46,175,84,Regular
2,7829.89,217.5,2055,2023-03-17 07:40:00,2023-09-21 09:06:00,31,188,79,High Value
1,509.01,31.81,211,2023-09-01 12:09:00,2023-09-01 12:09:00,16,0,99,Regular
18,4951.41,24.88,2922,2023-01-12 14:13:00,2023-12-08 11:35:00,118,329,1,VIP
2,2906.85,29.66,1180,2023-07-22 13:29:00,2023-11-25 13:28:00,84,125,13,High Value
1,173.55,15.78,121,2022-12-08 10:45:00,2022-12-08 10:45:00,11,0,366,At Risk
1,172.06,14.34,182,2023-12-06 14:22:00,2023-12-06 14:22:00,12,0,2,Regular
5,5005.46,28.44,1153,2023-06-21 14:00:00,2023-11-18 13:23:00,138,149,20,High Value
1,133.4,33.35,62,2023-11-17 18:43:00,2023-11-17 18:43:00,4,0,21,Regular
1,1002.31,17.58,351,2023-10-13 12:50:00,2023-10-13 12:50:00,57,0,57,Regular
1,476.49,18.33,190,2023-04-10 13:25:00,2023-04-10 13:25:00,26,0,242,At Risk
1,449.45,20.43,243,2023-10-26 13:46:00,2023-10-26 13:46:00,22,0,43,Regular
4,4067.29,21.29,1553,2023-06-05 15:37:00,2023-11-17 13:46:00,118,164,21,High Value
2,197.88,24.74,128,2023-06-19 14:36:00,2023-07-06 14:41:00,7,17,155,Regular
5,9035.52,25.52,6575,2023-01-19 09:05:00,2023-11-29 08:40:00,265,313,10,High Value
2,430.57,19.57,185,2023-11-23 08:05:00,2023-11-23 10:28:00,21,0,16,Regular
1,707.09,16.44,473,2023-07-28 14:08:00,2023-07-28 14:08:00,43,0,133,Regular
1,3528.34,235.22,1006,2023-10-14 17:13:00,2023-10-14 17:13:00,15,0,55,High Value
6,2466.86,27.41,2089,2023-02-16 09:56:00,2023-09-27 15:31:00,85,223,72,VIP
3,3181.04,25.45,1633,2023-03-30 09:12:00,2023-10-26 14:41:00,105,210,43,High Value
7,2363.23,38.12,843,2023-04-14 18:57:00,2023-10-04 13:13:00,53,172,65,VIP
2,947.4,24.93,506,2023-02-28 10:55:00,2023-09-29 15:25:00,35,213,70,Regular
2,826.88,23.63,287,2023-07-08 10:23:00,2023-09-06 16:57:00,35,60,93,Regular
2,1189.59,19.19,536,2023-02-09 14:44:00,2023-11-21 09:11:00,51,284,18,Regular
4,1344.78,16.2,776,2023-04-12 12:47:00,2023-10-17 13:44:00,65,188,52,Regular
8,1212.05,41.79,112,2023-02-03 13:30:00,2023-11-29 13:33:00,6,299,9,Frequent
2,742.19,15.79,479,2023-06-23 13:37:00,2023-11-22 16:34:00,46,152,16,Regular
2,729.54,19.2,366,2023-01-27 13:29:00,2023-06-05 11:36:00,36,128,187,At Risk
30,19788.65,43.11,8200,2022-12-10 09:35:00,2023-12-07 15:43:00,150,362,1,VIP
7,6572.11,19.39,4148,2022-12-05 14:19:00,2023-11-07 14:01:00,219,336,31,VIP
5,3928.05,23.52,2414,2023-06-01 10:15:00,2023-11-10 13:46:00,140,162,28,High Value
18,7324.09,17.36,4833,2023-01-14 10:06:00,2023-11-22 14:39:00,253,312,16,VIP
1,723.38,20.09,535,2023-10-17 10:10:00,2023-10-17 10:10:00,36,0,53,Regular
11,6816.42,29.26,2408,2022-12-13 14:39:00,2023-11-24 12:40:00,177,345,15,VIP
6,13219.74,44.07,3653,2023-02-11 12:45:00,2023-11-17 09:51:00,191,278,22,VIP
1,680.99,18.92,236,2023-12-06 09:56:00,2023-12-06 09:56:00,36,0,3,Regular
1,527.2,17.01,385,2023-11-28 13:26:00,2023-11-28 13:26:00,31,0,10,Regular
4,3281.63,21.31,1707,2023-01-07 15:27:00,2023-11-11 14:52:00,129,307,27,High Value
10,5579.82,25.83,3294,2022-12-09 10:13:00,2023-11-17 08:29:00,150,342,22,VIP
8,2484.98,33.13,1110,2023-01-04 14:20:00,2023-11-22 17:02:00,46,322,16,VIP
6,4527.32,13.2,2187,2023-01-07 14:04:00,2023-11-07 11:37:00,256,303,32,VIP
3,1298.66,23.61,529,2023-09-25 10:34:00,2023-11-30 08:50:00,46,65,9,Regular
1,334.93,22.33,105,2023-01-07 13:13:00,2023-01-07 13:13:00,15,0,335,At Risk
10,5417.93,22.11,3064,2023-01-14 09:13:00,2023-12-04 16:07:00,131,324,4,VIP
1,460.4,17.71,260,2023-11-01 12:18:00,2023-11-01 12:18:00,25,0,38,Regular
2,263.21,13.16,192,2023-08-26 14:51:00,2023-10-07 15:15:00,19,42,62,Regular
2,433.74,19.72,207,2023-05-26 14:53:00,2023-06-27 10:17:00,20,31,165,Regular
7,1246.1,16.18,707,2022-12-09 11:31:00,2023-11-24 09:34:00,63,349,15,Frequent
1,1043.1,74.51,1236,2023-09-19 12:29:00,2023-09-19 12:29:00,14,0,81,Regular
3,403.7,17.55,159,2023-10-13 09:30:00,2023-11-18 12:53:00,21,36,20,Regular
11,4257.82,69.8,2678,2023-01-10 09:48:00,2023-11-16 16:20:00,34,310,22,VIP
1,2169.39,14.56,1783,2023-01-07 12:28:00,2023-01-07 12:28:00,149,0,336,At Risk
5,3723.87,25.33,820,2023-02-03 10:41:00,2023-09-05 11:52:00,102,214,95,High Value
2,482.05,53.56,90,2023-11-09 14:56:00,2023-11-21 16:02:00,6,12,17,Regular
1,73.5,3.2,23,2023-04-21 08:54:00,2023-04-21 08:54:00,23,0,232,At Risk
3,1304.81,62.13,894,2023-02-14 09:24:00,2023-07-28 17:09:00,19,164,133,Regular
2,397.88,5.85,271,2023-11-10 16:27:00,2023-11-13 15:37:00,57,2,25,Regular
1,176.5,25.21,55,2023-02-28 14:45:00,2023-02-28 14:45:00,7,0,283,At Risk
2,982.57,29.77,353,2023-01-18 14:04:00,2023-07-20 10:15:00,29,182,142,Regular
2,132.18,4.26,96,2023-10-04 14:53:00,2023-10-04 14:55:00,31,0,65,Regular
1,612.29,17.49,462,2023-08-19 10:51:00,2023-08-19 10:51:00,35,0,112,Regular
1,1017.68,19.95,440,2023-03-17 16:38:00,2023-03-17 16:38:00,51,0,266,At Risk
1,383.7,23.98,131,2022-12-21 15:43:00,2022-12-21 15:43:00,16,0,352,At Risk
2,1312.06,50.46,875,2023-06-12 11:37:00,2023-09-23 09:13:00,20,102,77,Regular
5,2481.6,8.89,1361,2023-06-02 15:13:00,2023-11-11 14:04:00,232,161,27,High Value
5,2056.89,16.59,1318,2023-08-21 13:18:00,2023-12-09 10:13:00,84,109,0,High Value
1,330.84,19.46,175,2023-10-07 09:26:00,2023-10-07 09:26:00,17,0,63,Regular
5,2634.26,17.33,1439,2023-03-11 11:35:00,2023-09-21 15:23:00,121,194,78,High Value
1,599.68,15.78,309,2023-07-20 10:51:00,2023-07-20 10:51:00,38,0,142,Regular
2,192.72,16.06,194,2023-10-19 14:41:00,2023-10-31 15:30:00,11,12,38,Regular
11,1789.77,16.88,865,2023-01-12 09:43:00,2023-11-20 12:55:00,84,312,18,Frequent
8,4485.72,31.15,3699,2023-01-10 10:35:00,2023-11-30 15:31:00,113,324,8,VIP
3,1316.66,18.54,632,2023-09-06 14:19:00,2023-12-09 12:09:00,64,93,0,Regular
3,348.71,19.37,234,2023-01-18 12:05:00,2023-09-19 11:55:00,18,243,81,Regular
6,1933.48,21.02,756,2023-01-31 09:05:00,2023-11-30 14:40:00,50,303,8,Frequent
4,1662.28,25.19,913,2023-01-07 10:04:00,2023-10-11 12:34:00,51,277,59,Regular
1,125.22,7.37,45,2023-11-25 11:12:00,2023-11-25 11:12:00,17,0,14,Regular
1,349.83,21.86,153,2023-11-09 13:47:00,2023-11-09 13:47:00,16,0,29,Regular
1,1089.18,17.29,651,2023-08-01 10:26:00,2023-08-01 10:26:00,63,0,130,Regular
2,716.35,21.07,219,2023-06-06 12:47:00,2023-09-09 08:48:00,28,94,91,Regular
3,12601.83,48.28,2803,2023-10-11 14:52:00,2023-10-27 14:20:00,260,15,42,High Value
1,363.95,17.33,191,2023-11-10 17:16:00,2023-11-10 17:16:00,21,0,28,Regular
4,5568.35,20.4,2067,2023-01-10 09:11:00,2023-11-17 13:30:00,157,311,21,High Value
17,13400.24,28.03,6685,2022-12-13 09:39:00,2023-11-20 11:31:00,277,342,19,VIP
3,981.18,18.87,680,2023-03-04 09:32:00,2023-11-10 10:40:00,46,251,29,Regular
1,372.7,19.62,136,2023-11-03 16:15:00,2023-11-03 16:15:00,19,0,35,Regular
2,1000.39,20.01,523,2023-03-25 12:04:00,2023-09-25 13:39:00,42,184,74,Regular
2,1161.5,16.83,633,2023-09-23 09:44:00,2023-10-24 12:09:00,59,31,46,Regular
2,207.8,25.98,134,2023-03-04 12:46:00,2023-05-26 12:38:00,7,82,197,At Risk
1,95.2,19.04,49,2023-06-26 15:35:00,2023-06-26 15:35:00,5,0,165,Regular
1,964.83,16.93,569,2023-09-21 14:35:00,2023-09-21 14:35:00,57,0,78,Regular
1,168.0,16.8,100,2022-12-17 11:23:00,2022-12-17 11:23:00,10,0,357,At Risk
2,437.82,21.89,88,2023-10-31 12:11:00,2023-11-01 10:02:00,20,0,38,Regular
10,3692.28,19.33,1965,2023-01-14 10:42:00,2023-12-01 16:38:00,95,321,7,VIP
2,599.56,5.04,355,2023-07-11 13:35:00,2023-10-20 13:06:00,100,100,49,Regular
5,11990.96,363.36,4384,2022-12-03 12:20:00,2023-11-23 16:59:00,15,355,15,High Value
1,269.96,24.54,196,2023-12-02 10:41:00,2023-12-02 10:41:00,11,0,7,Regular
2,561.71,26.75,283,2023-01-24 10:12:00,2023-02-02 09:49:00,21,8,310,At Risk
3,2134.01,20.32,1110,2023-07-19 15:55:00,2023-12-04 13:54:00,91,137,4,High Value
1,238.85,14.93,177,2023-02-10 11:39:00,2023-02-10 11:39:00,16,0,302,At Risk
7,3781.74,22.51,1779,2023-05-25 12:44:00,2023-12-01 17:20:00,99,190,7,VIP
1,456.9,21.76,133,2023-03-23 14:55:00,2023-03-23 14:55:00,21,0,260,At Risk
1,145.92,16.21,80,2023-02-24 10:34:00,2023-02-24 10:34:00,9,0,288,At Risk
1,351.65,18.51,265,2023-09-14 14:30:00,2023-09-14 14:30:00,19,0,85,Regular
10,9401.28,21.08,4305,2022-12-05 11:57:00,2023-11-17 11:02:00,323,346,22,VIP
32,4124.69,21.94,1801,2023-04-01 13:47:00,2023-12-07 16:24:00,92,250,1,VIP
2,519.61,15.28,523,2023-08-10 12:35:00,2023-10-31 10:19:00,31,81,39,Regular
2,1020.42,17.01,452,2023-10-19 08:20:00,2023-12-01 09:20:00,53,43,8,Regular
1,160.54,5.73,84,2023-04-26 15:52:00,2023-04-26 15:52:00,26,0,226,At Risk
1,218.45,19.86,61,2023-01-28 09:20:00,2023-01-28 09:20:00,11,0,315,At Risk
5,1315.83,14.95,967,2023-02-08 11:31:00,2023-11-04 10:11:00,72,268,35,Regular
3,626.6,4.29,469,2022-12-15 16:21:00,2023-11-04 13:24:00,137,323,34,Regular
2,2794.51,24.51,1196,2023-01-13 15:34:00,2023-11-18 13:30:00,111,308,20,High Value
1,440.42,15.19,285,2023-09-22 17:15:00,2023-09-22 17:15:00,29,0,77,Regular
1,415.7,17.32,238,2023-04-07 10:24:00,2023-04-07 10:24:00,24,0,246,At Risk
1,197.71,13.18,161,2023-10-31 08:56:00,2023-10-31 08:56:00,15,0,39,Regular
2,511.36,23.24,300,2023-02-24 11:42:00,2023-04-15 08:45:00,21,49,238,At Risk
15,7281.38,29.48,5060,2022-12-01 08:45:00,2023-12-07 08:07:00,115,370,2,VIP
9,2338.15,24.36,416,2023-03-04 15:15:00,2023-12-06 09:35:00,44,276,3,VIP
2,2040.1,23.45,1279,2022-12-23 12:58:00,2023-04-19 13:39:00,77,117,233,At Risk
1,196.94,17.9,79,2023-11-22 16:24:00,2023-11-22 16:24:00,11,0,16,Regular
1,144.0,36.0,51,2023-12-02 12:47:00,2023-12-02 12:47:00,4,0,7,Regular
1,214.9,21.49,53,2023-10-31 15:01:00,2023-10-31 15:01:00,10,0,38,Regular
2,646.68,18.48,306,2023-07-18 12:05:00,2023-11-11 10:19:00,29,115,28,Regular
2,9864.26,145.06,4283,2023-05-12 14:46:00,2023-05-12 14:52:00,68,0,210,At Risk
1,452.85,17.42,228,2023-01-26 14:35:00,2023-01-26 14:35:00,26,0,316,At Risk
2,437.6,24.31,290,2023-05-10 13:44:00,2023-09-08 15:04:00,11,121,91,Regular
3,418.1,19.91,206,2023-05-05 09:29:00,2023-08-23 12:43:00,14,110,108,Regular
10,3338.22,28.29,1777,2023-01-21 09:52:00,2023-11-02 12:20:00,50,285,37,VIP
2,618.27,22.9,474,2023-04-11 13:22:00,2023-10-19 13:02:00,25,190,50,Regular
4,3811.22,18.5,2236,2023-03-16 14:00:00,2023-11-20 13:33:00,184,248,18,High Value
8,3023.08,22.9,1964,2023-02-28 11:58:00,2023-11-30 12:18:00,84,275,9,VIP
7,1032.58,16.65,956,2023-02-08 13:28:00,2023-11-10 13:34:00,32,275,28,Frequent
10,2599.04,40.61,774,2022-12-03 12:57:00,2023-11-11 10:29:00,32,342,28,VIP
5,577.06,20.61,245,2023-01-11 10:38:00,2023-06-03 10:17:00,21,142,189,At Risk
1,153.12,12.76,162,2023-10-12 11:22:00,2023-10-12 11:22:00,12,0,58,Regular
1,739.2,369.6,63,2023-11-18 10:42:00,2023-11-18 10:42:00,2,0,21,Regular
2,254.18,15.89,201,2023-03-23 12:06:00,2023-09-21 14:08:00,15,182,78,Regular
1,1579.51,15.64,1228,2023-10-10 16:06:00,2023-10-10 16:06:00,101,0,59,Regular
3,1126.85,18.78,648,2023-01-25 15:13:00,2023-09-22 16:34:00,57,240,77,Regular
5,2099.54,19.81,1049,2023-08-05 13:52:00,2023-11-17 09:34:00,85,103,22,High Value
1,1193.32,18.36,846,2023-10-18 13:12:00,2023-10-18 13:12:00,65,0,51,Regular
1,704.04,37.05,262,2023-09-26 15:35:00,2023-09-26 15:35:00,19,0,73,Regular
5,3344.38,21.86,1644,2023-03-22 15:42:00,2023-10-13 14:59:00,124,204,56,High Value
1,315.6,15.78,76,2023-03-07 10:22:00,2023-03-07 10:22:00,20,0,277,At Risk
4,2291.19,21.82,1376,2023-06-24 13:35:00,2023-12-07 15:02:00,82,166,1,High Value
2,713.3,22.29,284,2023-02-15 14:17:00,2023-09-05 15:17:00,25,202,94,Regular
1,352.98,8.61,210,2023-11-10 14:39:00,2023-11-10 14:39:00,39,0,28,Regular
1,177.31,16.12,96,2023-11-18 11:10:00,2023-11-18 11:10:00,11,0,21,Regular
9,3641.24,40.46,3378,2023-03-31 13:10:00,2023-11-23 14:52:00,50,237,15,VIP
3,1339.41,14.56,1181,2023-05-19 12:10:00,2023-11-25 10:20:00,89,189,14,Regular
20,13689.67,29.31,7440,2022-12-09 10:16:00,2023-12-08 11:25:00,261,364,1,VIP
1,180.1,16.37,69,2023-04-21 16:39:00,2023-04-21 16:39:00,11,0,231,At Risk
1,305.1,16.95,191,2023-03-08 13:50:00,2023-03-08 13:50:00,18,0,275,At Risk
2,641.13,16.87,355,2023-06-15 12:34:00,2023-08-25 15:04:00,36,71,105,Regular
2,2683.82,31.21,1612,2023-01-24 13:27:00,2023-05-12 09:54:00,73,107,211,At Risk
9,6620.48,22.52,3453,2023-01-17 11:01:00,2023-11-16 16:06:00,232,303,22,VIP
7,4478.53,19.47,2752,2023-07-22 13:59:00,2023-11-29 12:07:00,162,129,10,VIP
3,786.46,19.18,448,2023-10-06 09:28:00,2023-12-05 13:15:00,34,60,3,Regular
2,1270.88,19.86,548,2023-10-27 10:41:00,2023-11-30 10:48:00,60,34,9,Regular
1,640.5,20.66,236,2023-10-13 13:53:00,2023-10-13 13:53:00,31,0,56,Regular
4,2163.98,21.43,1162,2023-02-25 08:44:00,2023-10-12 11:40:00,73,229,58,High Value
2,1689.18,16.72,1172,2023-07-08 08:43:00,2023-09-11 11:04:00,96,65,89,Regular
8,6002.9,15.71,2994,2023-01-20 10:47:00,2023-10-03 13:46:00,205,256,66,VIP
1,671.69,17.22,577,2023-11-06 13:11:00,2023-11-06 13:11:00,39,0,32,Regular
1,486.1,22.1,201,2023-04-15 12:48:00,2023-04-15 12:48:00,22,0,238,At Risk
3,1174.58,22.16,311,2023-09-19 12:01:00,2023-11-16 11:52:00,47,57,23,Regular
1,185.9,18.59,72,2023-08-16 13:26:00,2023-08-16 13:26:00,10,0,114,Regular
3,1013.26,21.56,552,2023-08-24 09:23:00,2023-11-14 15:03:00,39,82,24,Regular
6,3344.64,139.36,1808,2023-01-11 11:48:00,2023-08-03 12:56:00,11,204,127,VIP
1,477.91,15.42,325,2023-08-02 10:33:00,2023-08-02 10:33:00,31,0,129,Regular
4,1775.18,24.32,1084,2023-01-27 13:08:00,2023-11-06 12:38:00,58,282,33,Regular
2,1346.97,29.93,897,2023-10-21 12:52:00,2023-12-05 10:14:00,43,44,4,Regular
12,3722.82,30.77,1431,2022-12-05 14:02:00,2023-11-17 12:56:00,78,346,21,VIP
1,318.05,15.15,160,2023-07-08 11:55:00,2023-07-08 11:55:00,21,0,154,Regular
3,623.51,20.11,586,2023-05-11 14:37:00,2023-08-24 14:41:00,28,105,106,Regular
1,314.44,15.72,254,2023-12-06 16:34:00,2023-12-06 16:34:00,20,0,2,Regular
1,114.0,12.67,78,2023-01-09 12:46:00,2023-01-09 12:46:00,9,0,334,At Risk
1,919.98,19.17,505,2023-01-12 15:00:00,2023-01-12 15:00:00,48,0,330,At Risk
2,2209.85,51.39,919,2023-02-16 10:53:00,2023-07-14 10:41:00,37,147,148,High Value
5,601.98,15.84,264,2023-02-17 13:16:00,2023-11-29 10:10:00,31,284,10,Regular
5,4051.17,32.15,1723,2023-04-20 09:20:00,2023-11-22 13:42:00,89,216,16,High Value
4,1643.18,34.96,1044,2023-09-22 11:40:00,2023-11-28 15:47:00,35,67,10,Regular
1,686.05,19.06,320,2023-11-21 10:22:00,2023-11-21 10:22:00,36,0,18,Regular
1,91.68,18.34,105,2023-11-10 11:53:00,2023-11-10 11:53:00,5,0,29,Regular
1,245.1,18.85,127,2023-11-28 13:26:00,2023-11-28 13:26:00,13,0,10,Regular
11,3849.78,16.74,2058,2022-12-01 13:04:00,2023-12-09 11:59:00,129,372,0,VIP
9,4881.88,131.94,1203,2023-01-21 11:42:00,2023-12-01 17:07:00,10,314,7,VIP
1,63.0,21.0,37,2023-01-19 08:34:00,2023-01-19 08:34:00,3,0,324,At Risk
1,620.13,18.79,395,2023-10-12 17:00:00,2023-10-12 17:00:00,33,0,57,Regular
4,3807.15,23.65,1634,2022-12-19 12:46:00,2023-11-28 10:56:00,115,343,11,High Value
3,2744.03,27.17,1115,2023-03-28 10:15:00,2023-07-12 09:54:00,98,105,150,High Value
5,2996.05,32.57,1397,2023-04-21 10:16:00,2023-11-29 15:23:00,58,222,9,High Value
1,225.9,22.59,78,2023-01-14 09:20:00,2023-01-14 09:20:00,10,0,329,At Risk
2,610.52,14.54,351,2023-01-17 11:46:00,2023-12-04 13:55:00,42,321,4,Regular
4,1970.6,23.74,1133,2023-05-16 09:10:00,2023-11-01 12:12:00,52,169,38,Regular
6,1331.39,29.59,670,2023-02-01 15:41:00,2023-11-15 12:25:00,33,286,24,Frequent
12,17628.46,106.84,10923,2022-12-21 11:00:00,2023-10-28 13:04:00,105,311,41,VIP
4,1113.02,23.19,554,2023-03-01 12:26:00,2023-10-12 12:30:00,43,225,58,Regular
4,862.81,16.59,443,2023-08-18 15:44:00,2023-12-09 12:50:00,33,112,0,Regular
22,13787.54,21.61,7536,2022-12-07 10:08:00,2023-11-25 11:33:00,267,353,14,VIP
31,12279.82,23.43,5555,2022-12-03 13:59:00,2023-12-06 10:00:00,209,367,3,VIP
15,8476.57,24.64,4987,2022-12-09 10:37:00,2023-12-05 16:31:00,177,361,3,VIP
7,2283.63,21.75,1985,2023-05-10 12:55:00,2023-12-02 09:53:00,61,205,7,VIP
6,2863.08,18.24,1523,2023-09-07 10:28:00,2023-11-11 13:46:00,117,65,27,VIP
1,89.14,12.73,107,2022-12-03 09:51:00,2022-12-03 09:51:00,7,0,371,At Risk
1,4873.81,28.5,3028,2023-08-18 08:49:00,2023-08-18 08:49:00,171,0,113,High Value
2,1247.61,17.33,628,2023-08-04 10:04:00,2023-11-14 08:31:00,57,101,25,Regular
1,389.01,24.31,106,2023-05-18 09:09:00,2023-05-18 09:09:00,16,0,205,At Risk
